"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"240","CARI",2019-07-26 11:15:00,200.91,NA,NA,106.53,2.74,2019-07-26
"241","CARI",2019-07-26 11:16:00,213.75,NA,NA,106.54,1.41,2019-07-26
"242","CARI",2019-07-26 11:17:00,211.89,NA,NA,106.54,1.41,2019-07-26
"243","CARI",2019-07-26 11:18:00,200.06,NA,NA,106.53,1.46,2019-07-26
"244","CARI",2019-07-26 11:19:00,209.63,NA,NA,106.52,1.37,2019-07-26
"245","CARI",2019-07-26 11:20:00,203.76,NA,NA,106.47,2.81,2019-07-26
"246","CARI",2019-07-26 11:21:00,204.63,NA,NA,106.49,1.37,2019-07-26
"247","CARI",2019-07-26 11:22:00,201.04,NA,NA,106.5,1.36,2019-07-26
"248","CARI",2019-07-26 11:23:00,201.26,NA,NA,106.48,1.4,2019-07-26
"249","CARI",2019-07-26 11:24:00,204.37,NA,NA,106.46,1.38,2019-07-26
"250","CARI",2019-07-26 11:25:00,207.51,NA,NA,106.43,2.93,2019-07-26
"251","CARI",2019-07-26 11:26:00,211.85,NA,NA,106.49,1.37,2019-07-26
"252","CARI",2019-07-26 11:27:00,209.68,NA,NA,106.49,1.37,2019-07-26
"253","CARI",2019-07-26 11:28:00,214.41,NA,NA,106.42,1.33,2019-07-26
"254","CARI",2019-07-26 11:29:00,203.12,NA,NA,106.4,1.32,2019-07-26
"255","CARI",2019-07-26 11:30:00,203.81,NA,NA,106.38,2.78,2019-07-26
"256","CARI",2019-07-26 11:31:00,209.25,NA,NA,106.4,1.36,2019-07-26
"257","CARI",2019-07-26 11:32:00,205.19,NA,NA,106.4,1.36,2019-07-26
"258","CARI",2019-07-26 11:33:00,206.94,NA,NA,106.37,1.33,2019-07-26
"259","CARI",2019-07-26 11:34:00,202.9,NA,NA,106.34,1.38,2019-07-26
"260","CARI",2019-07-26 11:35:00,209.43,NA,NA,106.26,2.79,2019-07-26
"261","CARI",2019-07-26 11:36:00,203.98,NA,NA,106.31,1.37,2019-07-26
"262","CARI",2019-07-26 11:37:00,212.9,NA,NA,106.31,1.38,2019-07-26
"263","CARI",2019-07-26 11:38:00,206.05,NA,NA,106.27,1.37,2019-07-26
"264","CARI",2019-07-26 11:39:00,207.54,NA,NA,106.25,1.33,2019-07-26
"265","CARI",2019-07-26 11:40:00,200.31,NA,NA,106.2,2.88,2019-07-26
"266","CARI",2019-07-26 11:41:00,206.5,NA,NA,106.2,1.37,2019-07-26
"267","CARI",2019-07-26 11:42:00,206.89,NA,NA,106.2,1.37,2019-07-26
"268","CARI",2019-07-26 11:43:00,214.81,NA,NA,106.16,1.33,2019-07-26
"269","CARI",2019-07-26 11:44:00,211.05,NA,NA,106.12,1.37,2019-07-26
"270","CARI",2019-07-26 11:45:00,207.51,NA,NA,106.06,2.69,2019-07-26
"271","CARI",2019-07-26 11:46:00,217.51,NA,NA,106.09,1.34,2019-07-26
"272","CARI",2019-07-26 11:47:00,208.9,NA,NA,106.09,1.35,2019-07-26
"273","CARI",2019-07-26 11:48:00,211.85,NA,NA,106.06,1.4,2019-07-26
"274","CARI",2019-07-26 11:49:00,207.72,NA,NA,106.07,1.33,2019-07-26
"275","CARI",2019-07-26 11:50:00,202.55,NA,NA,106,2.84,2019-07-26
"276","CARI",2019-07-26 11:51:00,206.33,NA,NA,106.02,1.37,2019-07-26
"277","CARI",2019-07-26 11:52:00,203.89,NA,NA,106.02,1.38,2019-07-26
"278","CARI",2019-07-26 11:53:00,215.79,NA,NA,106,1.33,2019-07-26
"279","CARI",2019-07-26 11:54:00,197.14,NA,NA,105.99,1.34,2019-07-26
"280","CARI",2019-07-26 11:55:00,207.2,NA,NA,105.95,2.88,2019-07-26
"281","CARI",2019-07-26 11:56:00,213.22,NA,NA,105.96,1.34,2019-07-26
"282","CARI",2019-07-26 11:57:00,200.48,NA,NA,105.96,1.34,2019-07-26
"283","CARI",2019-07-26 11:58:00,203.55,NA,NA,105.94,1.33,2019-07-26
"284","CARI",2019-07-26 11:59:00,193.36,NA,NA,105.93,1.33,2019-07-26
"285","CARI",2019-07-26 12:00:00,214.72,NA,NA,105.86,2.82,2019-07-26
"286","CARI",2019-07-26 12:01:00,211.45,NA,NA,105.89,1.4,2019-07-26
"287","CARI",2019-07-26 12:02:00,219.31,NA,NA,105.89,1.4,2019-07-26
"288","CARI",2019-07-26 12:03:00,210.57,NA,NA,105.87,1.33,2019-07-26
"289","CARI",2019-07-26 12:04:00,213.35,NA,NA,105.85,1.35,2019-07-26
"290","CARI",2019-07-26 12:05:00,206.15,NA,NA,105.78,2.78,2019-07-26
"291","CARI",2019-07-26 12:06:00,197.4,NA,NA,105.79,1.36,2019-07-26
"292","CARI",2019-07-26 12:07:00,207.99,NA,NA,105.78,1.37,2019-07-26
"293","CARI",2019-07-26 12:08:00,214.41,NA,NA,105.78,1.39,2019-07-26
"294","CARI",2019-07-26 12:09:00,196.59,NA,NA,105.75,1.41,2019-07-26
"295","CARI",2019-07-26 12:10:00,212.02,NA,NA,105.72,2.64,2019-07-26
"296","CARI",2019-07-26 12:11:00,211.89,NA,NA,105.73,1.33,2019-07-26
"297","CARI",2019-07-26 12:12:00,210.35,NA,NA,105.72,1.34,2019-07-26
"298","CARI",2019-07-26 12:13:00,207.24,NA,NA,105.7,1.37,2019-07-26
"299","CARI",2019-07-26 12:14:00,211.15,NA,NA,105.69,1.39,2019-07-26
"300","CARI",2019-07-26 12:15:00,208.59,NA,NA,105.63,2.76,2019-07-26
"301","CARI",2019-07-26 12:16:00,213.64,NA,NA,105.69,1.3,2019-07-26
"302","CARI",2019-07-26 12:17:00,210.49,NA,NA,105.69,1.3,2019-07-26
"303","CARI",2019-07-26 12:18:00,219.09,NA,NA,105.63,1.32,2019-07-26
"304","CARI",2019-07-26 12:19:00,201.13,NA,NA,105.63,1.37,2019-07-26
"305","CARI",2019-07-26 12:20:00,214.63,NA,NA,105.59,2.81,2019-07-26
"306","CARI",2019-07-26 12:21:00,204.97,NA,NA,105.61,1.38,2019-07-26
"307","CARI",2019-07-26 12:22:00,217.7,NA,NA,105.61,1.39,2019-07-26
