"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"76",76,0.466382420465727,0.453263365037709,0.632420465726479,"POKE","storm4",7,23,"NO3",NA,NA,NA,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,-0.158832836932249,-0.317944899478785,-0.135796723752795,"POKE","storm5",7,27,"NO3",NA,NA,NA,7,27,"Q.norm",-1.00034759148987,0.195590939556829,0.95,-1.38916951066532,-0.611525672314426,-5.11448839990476,86,1.88501781856226e-06
"78",78,-0.408207150368034,-0.510304942166141,-0.371992639327024,"POKE","storm5",7,27,"fDOM",NA,NA,NA,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,0.794873921698756,0.786247511612496,0.813619774386207,"POKE","storm5",7,27,"SPC",NA,NA,NA,7,27,"Q.norm",1.19510914143234,0.155804149738172,0.95,0.885328750656159,1.50488953220853,7.67058607515086,85,2.59304182647025e-11
"80",80,-0.0209674273454262,-0.0834796177101619,-0.0197971523307977,"POKE","storm5",7,27,"turb",NA,NA,NA,7,27,"Q.norm",1.00139560069899,0.0722805401850802,0.95,0.857706642419635,1.14508455897834,13.8542904927777,86,1.2737453959503e-23
"81",81,0.499733475479732,0.464729921819454,0.521321961620449,"POKE","storm6",8,8,"NO3",-0.2352,-0.2485,-0.2228,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,-0.465156232469428,-0.46875584352444,-0.460843127080296,"POKE","storm6",8,8,"fDOM",0.5954,0.5945,0.5963,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,0.86376404494382,0.862359550561796,0.869850187265939,"POKE","storm6",8,8,"SPC",NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,-0.0898769293870812,-0.173984571664237,-0.0887365937317601,"POKE","storm6",8,8,"turb",NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,-0.392138478182473,-0.447988898047498,-0.391525423728813,"POKE","storm7a",8,14,"NO3",NA,NA,NA,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,0.432900908824388,0.328642626795659,0.475593667546179,"POKE","storm7b",8,19,"NO3",-0.3425,-0.3487,-0.3359,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,0.530510585305086,0.512453300124521,0.637816521378155,"FRCH","storm7c",8,23,"NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,0.3954057835821,0.240049751243791,0.421097636815924,"FRCH","storm7d",8,26,"NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,-0.078842315369267,-0.129823685961411,-0.063122712907512,"STRT","storm1a",8,15,"NO3",-0.361,-0.3851,-0.3325,8,15,"Q.norm",-0.482281100724823,0.0791923070414745,0.95,-0.639000348263715,-0.32556185318593,-6.08999937926095,126,1.26582107171314e-08
"90",90,-0.420281259987923,-0.42980574594268,-0.408128839802547,"STRT","storm1a",8,15,"fDOM",0.4672,0.466,0.4685,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
