"","X.1","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"115",115,115,"FRCH",2019,"storm12d","turb",-0.260581184842999,4,65.4,218.8,354,213.5,0.0187353629976581,231.96875,"unburned","medium",2019-08-20,94.96875
"116",116,116,"FRCH",2019,"storm13","turb",-0.181307289393278,16.6,10.8,14.8,259,97.5,0.17025641025641,262.510416666667,"unburned","medium",2019-09-20,125.510416666668
"117",117,117,"FRCH",2019,"storm14","turb",-0.0493248232186973,25,15.4,46.4,286,157.5,0.158730158730159,273.59375,"unburned","medium",2019-10-01,136.59375
"118",118,118,"FRCH",2019,"storm2","turb",0.21995636119503,0,12.6,76.8,82,28,0,165.822916666667,"unburned","medium",2019-06-15,28.8229166666679
"119",119,119,"FRCH",2019,"storm3","turb",-0.37229867756155,5.2,12.2,77,83.4,50,0.104,168.197916666667,"unburned","medium",2019-06-18,31.1979166666679
"120",120,120,"FRCH",2019,"storm4","turb",-0.370181894702265,2.6,36.8,97.6,108,48,0.0541666666666667,170.364583333333,"unburned","medium",2019-06-20,33.3645833333321
"121",121,121,"FRCH",2019,"storm5","turb",-0.0302373592165842,6.4,37.6,109,119.6,57,0.112280701754386,172.40625,"unburned","medium",2019-06-22,35.40625
"122",122,122,"FRCH",2019,"storm7","turb",-0.263409563409561,11.2,3.8,25.4,149.4,33,0.339393939393939,205.78125,"unburned","medium",2019-07-25,68.78125
"123",123,123,"FRCH",2019,"storm8","turb",-0.241288323002176,5.8,19.4,41.2,165.2,26,0.223076923076923,208.114583333333,"unburned","medium",2019-07-28,71.1145833333321
"124",124,124,"FRCH",2019,"storm9a","turb",-0.161967103054713,6.4,25.2,42.2,171,15,0.426666666666667,209.28125,"unburned","medium",2019-07-29,72.28125
"125",125,125,"FRCH",2019,"storm9b","turb",-0.0206859821048106,0,36.6,53.6,182.4,37,0,210.03125,"unburned","medium",2019-07-30,73.03125
"126",126,126,"POKE",2019,"storm1","NO3",-0.12722035525686,9.525,2.286,21.717,34.036,25.5,0.373529411764706,180.1875,"burned","medium",2019-06-30,43.1875
"127",127,127,"POKE",2019,"storm2","NO3",0.100472813238766,9.398,0.508,24.257,44.069,22.5,0.417688888888889,192.270833333333,"burned","medium",2019-07-12,55.2708333333321
"128",128,128,"POKE",2019,"storm4","NO3",0.543181818181818,10.16,25.02,40.768,84.329,28.5,0.356491228070175,211.8125,"burned","medium",2019-07-31,74.8125
"129",129,129,"POKE",2019,"storm5d","NO3",0.546875,4.318,59.944,143.511,196.978,24.5,0.176244897959184,221.229166666667,"burned","medium",2019-08-10,84.2291666666679
"130",130,130,"POKE",2019,"storm7","NO3",0.176100628930818,19.05,38.735,170.943,225.045,66.5,0.286466165413534,226.729166666667,"burned","medium",2019-08-15,89.7291666666679
"131",131,131,"POKE",2019,"storm8","NO3",0.680669234472791,9.779,1.524,12.573,224.537,23.5,0.416127659574468,271.520833333333,"burned","medium",2019-09-29,134.520833333332
"132",132,132,"POKE",2019,"storm1","fDOM",0.464342664776758,9.525,2.286,21.717,34.036,25.5,0.373529411764706,180.1875,"burned","medium",2019-06-30,43.1875
"133",133,133,"POKE",2019,"storm2","fDOM",-0.212058156410846,9.398,0.508,24.257,44.069,22.5,0.417688888888889,192.270833333333,"burned","medium",2019-07-12,55.2708333333321
"134",134,134,"POKE",2019,"storm3","fDOM",-0.168909552878289,18.67,0.127,25.527,59.309,36.5,0.511506849315069,206.020833333333,"burned","medium",2019-07-26,69.0208333333321
"135",135,135,"POKE",2019,"storm4","fDOM",-0.301784547655256,10.16,25.02,40.768,84.329,28.5,0.356491228070175,211.8125,"burned","medium",2019-07-31,74.8125
"136",136,136,"POKE",2019,"storm5d","fDOM",0.267777698767809,4.318,59.944,143.511,196.978,24.5,0.176244897959184,221.229166666667,"burned","medium",2019-08-10,84.2291666666679
"137",137,137,"POKE",2019,"storm7","fDOM",-0.445469136676897,19.05,38.735,170.943,225.045,66.5,0.286466165413534,226.729166666667,"burned","medium",2019-08-15,89.7291666666679
"138",138,138,"POKE",2019,"storm8","fDOM",-0.440279625844585,9.779,1.524,12.573,224.537,23.5,0.416127659574468,271.520833333333,"burned","medium",2019-09-29,134.520833333332
"139",139,139,"POKE",2019,"storm9","fDOM",-0.658899923605806,7.874,17.526,29.464,240.92,52.5,0.149980952380952,276.3125,"burned","medium",2019-10-04,139.3125
"140",140,140,"POKE",2019,"storm1","SPC",0.590395480225955,9.525,2.286,21.717,34.036,25.5,0.373529411764706,180.1875,"burned","medium",2019-06-30,43.1875
"141",141,141,"POKE",2019,"storm2","SPC",0.565765957446808,9.398,0.508,24.257,44.069,22.5,0.417688888888889,192.270833333333,"burned","medium",2019-07-12,55.2708333333321
"142",142,142,"POKE",2019,"storm3","SPC",0.817205962552263,18.67,0.127,25.527,59.309,36.5,0.511506849315069,206.020833333333,"burned","medium",2019-07-26,69.0208333333321
"143",143,143,"POKE",2019,"storm4","SPC",0.356237254222941,10.16,25.02,40.768,84.329,28.5,0.356491228070175,211.8125,"burned","medium",2019-07-31,74.8125
"144",144,144,"POKE",2019,"storm5c","SPC",-0.515260561275188,14.224,91.694,130.811,174.372,27.5,0.517236363636364,216.520833333333,"burned","medium",2019-08-05,79.5208333333321
"145",145,145,"POKE",2019,"storm5d","SPC",0.344281929129643,4.318,59.944,143.511,196.978,24.5,0.176244897959184,221.229166666667,"burned","medium",2019-08-10,84.2291666666679
"146",146,146,"POKE",2019,"storm7","SPC",0.608505584919016,19.05,38.735,170.943,225.045,66.5,0.286466165413534,226.729166666667,"burned","medium",2019-08-15,89.7291666666679
"147",147,147,"POKE",2019,"storm8","SPC",0.488656250000003,9.779,1.524,12.573,224.537,23.5,0.416127659574468,271.520833333333,"burned","medium",2019-09-29,134.520833333332
"148",148,148,"POKE",2019,"storm9","SPC",0.845029239766082,7.874,17.526,29.464,240.92,52.5,0.149980952380952,276.3125,"burned","medium",2019-10-04,139.3125
"149",149,149,"POKE",2019,"storm1","turb",-0.289806722425837,9.525,2.286,21.717,34.036,25.5,0.373529411764706,180.1875,"burned","medium",2019-06-30,43.1875
"150",150,150,"POKE",2019,"storm2","turb",-0.395999472651756,9.398,0.508,24.257,44.069,22.5,0.417688888888889,192.270833333333,"burned","medium",2019-07-12,55.2708333333321
"151",151,151,"POKE",2019,"storm3","turb",-0.686869199788501,18.67,0.127,25.527,59.309,36.5,0.511506849315069,206.020833333333,"burned","medium",2019-07-26,69.0208333333321
"152",152,152,"POKE",2019,"storm4","turb",-0.686605966271203,10.16,25.02,40.768,84.329,28.5,0.356491228070175,211.8125,"burned","medium",2019-07-31,74.8125
"153",153,153,"POKE",2019,"storm5c","turb",-0.26722535035035,14.224,91.694,130.811,174.372,27.5,0.517236363636364,216.520833333333,"burned","medium",2019-08-05,79.5208333333321
"154",154,154,"POKE",2019,"storm5d","turb",-0.546439290478635,4.318,59.944,143.511,196.978,24.5,0.176244897959184,221.229166666667,"burned","medium",2019-08-10,84.2291666666679
"155",155,155,"POKE",2019,"storm7","turb",-0.0499248175637747,19.05,38.735,170.943,225.045,66.5,0.286466165413534,226.729166666667,"burned","medium",2019-08-15,89.7291666666679
"156",156,156,"POKE",2019,"storm8","turb",-0.215795627507746,9.779,1.524,12.573,224.537,23.5,0.416127659574468,271.520833333333,"burned","medium",2019-09-29,134.520833333332
